player,team,position,role,owner_status,roster_status,age,fpts,fpg_raw,fpg_regressed,ros_pct,rkov,estimated_games,sample_confidence,win_now_score,dynasty_score,dynasty_minus_win_now,forward_fpg,ros_vor,ip,ip_pct,whip,k_per_9,qs_rate,prospect_bonus,age_curve,mlb_overall_rank,mlb_org_rank,asset_value,asset_confidence,baseline_confidence,career_baseline,two_way,asset_blend_alpha,prospect_phase,prospect_bonus_applied,dynasty_gap,dynasty_signal
Darien Smith,SF,RP,RP,FA,Free Agent,26.0,0.0,0.0,3.16,0.0,8740.0,0.0,0.0,28.84,20.57,-8.27,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
John Stankiewicz,(N/A),RP,RP,FA,Free Agent,27.0,0.0,0.0,3.16,0.0,8870.0,0.0,0.0,28.84,20.57,-8.27,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Gabe Starks,CIN,RP,RP,FA,Free Agent,24.0,0.0,0.0,3.16,0.0,8874.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Jonathan Stevens,MIN,RP,RP,FA,Free Agent,22.0,0.0,0.0,3.16,0.0,8901.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Adam Stone,CHC,RP,RP,FA,Free Agent,24.0,0.0,0.0,3.16,0.0,8927.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Samuel Strickland,ATL,RP,RP,FA,Free Agent,27.0,0.0,0.0,3.16,0.0,8943.0,0.0,0.0,28.84,20.57,-8.27,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Jhoan Thomas,WSH,RP,RP,FA,Free Agent,19.0,0.0,0.0,3.16,0.0,9155.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Josh Timmerman,MIL,RP,RP,FA,Free Agent,23.0,0.0,0.0,3.16,0.0,9199.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Jonathan Todd,TOR,RP,RP,FA,Free Agent,24.0,0.0,0.0,3.16,0.0,9213.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Mark Manfredi,MIL,RP,RP,FA,Free Agent,25.0,0.0,0.0,3.16,0.0,5899.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Erik Rivera,BOS,RP,RP,FA,Free Agent,25.0,0.0,0.0,3.16,0.0,7933.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Teddy Sharkey,BAL,RP,RP,FA,Free Agent,24.0,0.0,0.0,3.16,0.0,8600.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Anthony Veneziano,(N/A),RP,RP,FA,Free Agent,28.0,0.0,0.0,3.16,0.0,9516.0,0.0,0.0,28.84,20.57,-8.27,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Luarbert Arias,(N/A),RP,RP,FA,Free Agent,25.0,0.0,0.0,3.16,0.0,1501.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Mason Vinyard,MIA,RP,RP,FA,Free Agent,27.0,0.0,0.0,3.16,0.0,9578.0,0.0,0.0,28.84,20.57,-8.27,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Nico Wagner,ATL,RP,RP,FA,Free Agent,20.0,0.0,0.0,3.16,0.0,9613.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Anthony Watts,STL,RP,RP,FA,Free Agent,22.0,0.0,0.0,3.16,0.0,9685.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Jacob Widener,(N/A),RP,RP,FA,Free Agent,25.0,0.0,0.0,3.16,0.0,9779.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Junior William,TB,RP,RP,FA,Free Agent,26.0,0.0,0.0,3.16,0.0,9801.0,0.0,0.0,28.84,20.57,-8.27,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Trey Wingenter,(N/A),RP,RP,FA,Free Agent,32.0,0.0,0.0,3.16,0.0,9855.0,0.0,0.0,28.84,9.57,-19.27,3.16,-0.37,0.0,9.41,,,,0.0,-6.0,,,,,,,,0.0,1.0,0.0,,
Nick Wissman,(N/A),RP,RP,FA,Free Agent,25.0,0.0,0.0,3.16,0.0,9869.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Sebastian Javier,(N/A),RP,RP,FA,Free Agent,22.0,0.0,0.0,3.16,0.0,5061.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Enderson Jean,(N/A),RP,RP,FA,Free Agent,21.0,0.0,0.0,3.16,0.0,5066.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Woo Joo Jeong,(N/A),RP,RP,FA,Free Agent,19.0,0.0,0.0,3.16,0.0,5084.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Cristian Jimenez,(N/A),RP,RP,FA,Free Agent,22.0,0.0,0.0,3.16,0.0,5101.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Federik Jimenez,(N/A),RP,RP,FA,Free Agent,21.0,0.0,0.0,3.16,0.0,5109.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Jhonny Jimenez,LAD,RP,RP,FA,Free Agent,22.0,0.0,0.0,3.16,0.0,5115.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Onias Jimenez,(N/A),RP,RP,FA,Free Agent,22.0,0.0,0.0,3.16,0.0,5120.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Colton Johnson,(N/A),RP,RP,FA,Free Agent,27.0,0.0,0.0,3.16,0.0,5137.0,0.0,0.0,28.84,20.57,-8.27,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Austin Cox,(N/A),RP,RP,FA,Free Agent,29.0,0.0,0.0,3.16,0.0,2892.0,0.0,0.0,28.84,15.57,-13.27,3.16,-0.37,0.0,9.41,,,,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
Kevin Herget,NYM,RP,RP,FA,Free Agent,35.0,0.0,0.0,3.16,0.0,4686.0,0.0,0.0,28.84,2.57,-26.27,3.16,-0.37,0.0,9.41,,,,0.0,-13.0,,,,,,,,0.0,1.0,0.0,,
Jared Johnson,ATH,RP,RP,FA,Free Agent,25.0,0.0,0.0,3.16,0.0,5141.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Tanner Kohlhepp,DET,RP,RP,FA,Free Agent,27.0,0.0,0.0,3.16,0.0,5374.0,0.0,0.0,28.84,20.57,-8.27,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Angel Perdomo,(N/A),RP,RP,FA,Free Agent,32.0,0.0,0.0,3.16,0.0,7327.0,0.0,0.0,28.84,9.57,-19.27,3.16,-0.37,0.0,9.41,,,,0.0,-6.0,,,,,,,,0.0,1.0,0.0,,
Ben Simon,NYM,RP,RP,FA,Free Agent,24.0,0.0,0.0,3.16,0.0,8688.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Griffin Tobias,MIL,RP,RP,FA,Free Agent,21.0,0.0,0.0,3.16,0.0,9212.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Esmerlin Vinicio,SF,RP,RP,FA,Free Agent,23.0,0.0,0.0,3.16,0.0,9577.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Colby White,(N/A),RP,RP,FA,Free Agent,28.0,0.0,0.0,3.16,0.0,9754.0,0.0,0.0,28.84,20.57,-8.27,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Eric Adler,(N/A),RP,RP,FA,Free Agent,25.0,0.0,0.0,3.16,0.0,1234.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Tyler Baum,WSH,RP,RP,FA,Free Agent,28.0,0.0,0.0,3.16,0.0,1750.0,0.0,0.0,28.84,20.57,-8.27,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Ryan Brown,LAD,RP,RP,FA,Free Agent,23.0,0.0,0.0,3.16,0.0,2163.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Edgar Isea,(N/A),RP,RP,FA,Free Agent,23.0,0.0,0.0,3.16,0.0,5013.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Gabriel Jackson,(N/A),RP,RP,FA,Free Agent,24.0,0.0,0.0,3.16,0.0,5027.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Duane Underwood Jr.,(N/A),RP,RP,FA,Free Agent,32.0,0.0,0.0,3.16,0.0,9362.0,0.0,0.0,28.84,9.57,-19.27,3.16,-0.37,0.0,9.41,,,,0.0,-6.0,,,,,,,,0.0,1.0,0.0,,
Giovanni Vargas,STL,RP,RP,FA,Free Agent,20.0,0.0,0.0,3.16,0.0,9450.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Luis Velasquez,NYY,RP,RP,FA,Free Agent,25.0,0.0,0.0,3.16,0.0,9505.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Jaylen Nowlin,MIN,RP,RP,FA,Free Agent,25.0,0.0,0.0,3.16,0.0,6887.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Braeden Sloan,BAL,RP,RP,FA,Free Agent,23.0,0.0,0.0,3.16,0.0,8718.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Yency Almonte,LAD,RP,RP,FA,Free Agent,32.0,0.0,0.0,3.16,0.0,1343.0,0.0,0.0,28.84,9.57,-19.27,3.16,-0.37,0.0,9.41,,,,0.0,-6.0,,,,,,,,0.0,1.0,0.0,,
Ryan Anderson,(N/A),RP,RP,FA,Free Agent,28.0,0.0,0.0,3.16,0.0,1410.0,0.0,0.0,28.84,20.57,-8.27,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Luis Andujar,BAL,RP,RP,FA,Free Agent,20.0,0.0,0.0,3.16,0.0,1422.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Erubiel Armenta,(N/A),RP,RP,FA,Free Agent,26.0,0.0,0.0,3.16,0.0,1519.0,0.0,0.0,28.84,20.57,-8.27,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Cade Austin,MIA,RP,RP,FA,Free Agent,24.0,0.0,0.0,3.16,0.0,1571.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Morris Austin,CHW,RP,RP,FA,Free Agent,26.0,0.0,0.0,3.16,0.0,1574.0,0.0,0.0,28.84,20.57,-8.27,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Trace Baker,TOR,RP,RP,FA,Free Agent,22.0,0.0,0.0,3.16,0.0,1631.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Merrick Baldo,WSH,RP,RP,FA,Free Agent,26.0,0.0,0.0,3.16,0.0,1640.0,0.0,0.0,28.84,20.57,-8.27,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Sadiel Baro,(N/A),RP,RP,FA,Free Agent,21.0,0.0,0.0,3.16,0.0,1685.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Erick Batista,SD,RP,RP,FA,Free Agent,20.0,0.0,0.0,3.16,0.0,1738.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Joe Barlow,(N/A),RP,RP,FA,Free Agent,30.0,0.0,0.0,3.16,0.0,1674.0,0.0,0.0,28.84,15.57,-13.27,3.16,-0.37,0.0,9.41,,,,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
Anderson Cardenas,ARI,RP,RP,FA,Free Agent,20.0,0.0,0.0,3.16,0.0,2387.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Andrew Dunford,HOU,RP,RP,FA,Free Agent,21.0,0.0,0.0,3.16,0.0,3452.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Pierce George,CHW,RP,RP,FA,Free Agent,23.0,0.0,0.0,3.16,0.0,4117.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Alvaro Benua,LAD,RP,RP,FA,Free Agent,23.0,0.0,0.0,3.16,0.0,1852.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Jadon Bercovich,TB,RP,RP,FA,Free Agent,24.0,0.0,0.0,3.16,0.0,1854.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Calvin Bickerstaff,BOS,RP,RP,FA,Free Agent,24.0,0.0,0.0,3.16,0.0,1896.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Jacob Bimbi,PIT,RP,RP,FA,Free Agent,24.0,0.0,0.0,3.16,0.0,1911.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Silvino Bracho,(N/A),RP,RP,FA,Free Agent,34.0,0.0,0.0,3.16,0.0,2050.0,0.0,0.0,28.84,9.57,-19.27,3.16,-0.37,0.0,9.41,,,,0.0,-6.0,,,,,,,,0.0,1.0,0.0,,
Tyler Bradt,STL,RP,RP,FA,Free Agent,25.0,0.0,0.0,3.16,0.0,2055.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Colten Brewer,(N/A),RP,RP,FA,Free Agent,33.0,0.0,0.0,3.16,0.0,2091.0,0.0,0.0,28.84,9.57,-19.27,3.16,-0.37,0.0,9.41,,,,0.0,-6.0,,,,,,,,0.0,1.0,0.0,,
Trevor Brigden,(N/A),RP,RP,FA,Free Agent,30.0,0.0,0.0,3.16,0.0,2103.0,0.0,0.0,28.84,15.57,-13.27,3.16,-0.37,0.0,9.41,,,,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
Naykel Cruz,(N/A),RP,RP,FA,Free Agent,26.0,0.0,0.0,3.16,0.0,2960.0,0.0,0.0,28.84,20.57,-8.27,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Melvin Cuevas,(N/A),RP,RP,FA,Free Agent,21.0,0.0,0.0,3.16,0.0,2980.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Burl Carraway,(N/A),RP,RP,FA,Free Agent,27.0,0.0,0.0,3.16,0.0,2433.0,0.0,0.0,28.84,20.57,-8.27,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Shintaro Fujinami,(N/A),RP,RP,FA,Free Agent,32.0,0.0,0.0,3.16,0.0,3943.0,0.0,0.0,28.84,9.57,-19.27,3.16,-0.37,0.0,9.41,,,,0.0,-6.0,,,,,,,,0.0,1.0,0.0,,
Sean Hermann,SEA,RP,RP,FA,Free Agent,23.0,0.0,0.0,3.16,0.0,4688.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Dany Jimenez,(N/A),RP,RP,FA,Free Agent,32.0,0.0,0.0,3.16,0.0,5103.0,0.0,0.0,28.84,9.57,-19.27,3.16,-0.37,0.0,9.41,,,,0.0,-6.0,,,,,,,,0.0,1.0,0.0,,
Hudson Leach,HOU,RP,RP,FA,Free Agent,24.0,0.0,0.0,3.16,0.0,5530.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Ryan Loutos,SEA,RP,RP,FA,Free Agent,27.0,0.0,0.0,3.16,0.0,5758.0,0.0,0.0,28.84,20.57,-8.27,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Engel Daniel Peralta,(N/A),RP,RP,FA,Free Agent,22.0,0.0,0.0,3.16,0.0,3037.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Cesar De Jesus,TB,RP,RP,FA,Free Agent,22.0,0.0,0.0,3.16,0.0,3107.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Dairon De Jesus,(N/A),RP,RP,FA,Free Agent,22.0,0.0,0.0,3.16,0.0,3108.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Franck De La Rosa,(N/A),RP,RP,FA,Free Agent,0.0,0.0,0.0,3.16,0.0,3152.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Carlos De Los Santos,(N/A),RP,RP,FA,Free Agent,25.0,0.0,0.0,3.16,0.0,3178.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Kade Brown,(N/A),RP,RP,FA,Free Agent,22.0,0.0,0.0,3.16,0.0,2159.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Thomas Bruss,DET,RP,RP,FA,Free Agent,27.0,0.0,0.0,3.16,0.0,2176.0,0.0,0.0,28.84,20.57,-8.27,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Deivid Burgos,CIN,RP,RP,FA,Free Agent,21.0,0.0,0.0,3.16,0.0,2203.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Cade Denton,COL,RP,RP,FA,Free Agent,24.0,0.0,0.0,3.16,0.0,3269.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Jimmy Joyce,SEA,RP,RP,FA,Free Agent,27.0,0.0,0.0,3.16,0.0,5199.0,0.0,0.0,28.84,20.57,-8.27,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Anthony Maldonado,(N/A),RP,RP,FA,Free Agent,28.0,0.0,0.0,3.16,0.0,5886.0,0.0,0.0,28.84,20.57,-8.27,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Koen Moreno,CHC,RP,RP,FA,Free Agent,24.0,0.0,0.0,3.16,0.0,6627.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Daniel Robert,PHI,RP,RP,FA,Free Agent,31.0,0.0,0.0,3.16,0.0,7956.0,0.0,0.0,28.84,15.57,-13.27,3.16,-0.37,0.0,9.41,,,,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
Cole Waites,(N/A),RP,RP,FA,Free Agent,28.0,0.0,0.0,3.16,0.0,9618.0,0.0,0.0,28.84,20.57,-8.27,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Justin Armbruester,NYM,RP,RP,FA,Free Agent,27.0,0.0,0.0,3.16,0.0,1517.0,0.0,0.0,28.84,20.57,-8.27,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Jared Beck,(N/A),RP,RP,FA,Free Agent,26.0,0.0,0.0,3.16,0.0,1779.0,0.0,0.0,28.84,20.57,-8.27,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Brayan Mendoza,MIA,RP,RP,FA,Free Agent,22.0,0.0,0.0,3.16,0.0,6342.0,0.0,0.0,28.84,29.57,0.73,3.16,-0.37,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Carson Ragsdale,(N/A),RP,RP,FA,Free Agent,28.0,0.0,0.0,3.16,0.0,7683.0,0.0,0.0,28.84,20.57,-8.27,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Logan Gillaspie,SD,RP,RP,FA,Free Agent,29.0,0.0,0.0,3.16,0.0,4151.0,0.0,0.0,28.84,15.57,-13.27,3.16,-0.37,0.0,9.41,,,,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
Ettore Giulianelli,CLE,RP,RP,FA,Free Agent,23.0,0.0,0.0,3.16,0.0,4168.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Sean Hjelle,(N/A),RP,RP,FA,Free Agent,29.0,0.0,0.0,3.16,0.0,4853.0,0.0,0.0,28.84,15.57,-13.27,3.16,-0.37,0.0,9.41,,,,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
Elison Joseph,ATL,RP,RP,FA,Free Agent,25.0,0.0,0.0,3.16,0.0,5194.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Victor Juarez,COL,RP,RP,FA,Free Agent,23.0,0.0,0.0,3.16,0.0,5205.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Seth Martinez,BOS,RP,RP,FA,Free Agent,31.0,0.0,0.0,3.16,0.0,6069.0,0.0,0.0,28.84,15.57,-13.27,3.16,-0.37,0.0,9.41,,,,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
Kyle Nelson,(N/A),RP,RP,FA,Free Agent,30.0,0.0,0.0,3.16,0.0,6800.0,0.0,0.0,28.84,15.57,-13.27,3.16,-0.37,0.0,9.41,,,,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
Colin Poche,(N/A),RP,RP,FA,Free Agent,32.0,0.0,0.0,3.16,0.0,7539.0,0.0,0.0,28.84,9.57,-19.27,3.16,-0.37,0.0,9.41,,,,0.0,-6.0,,,,,,,,0.0,1.0,0.0,,
John Rooney,TB,RP,RP,FA,Free Agent,29.0,0.0,0.0,3.16,0.0,8173.0,0.0,0.0,28.84,15.57,-13.27,3.16,-0.37,0.0,9.41,,,,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
Drew Smith,(N/A),RP,RP,FA,Free Agent,32.0,0.0,0.0,3.16,0.0,8743.0,0.0,0.0,28.84,9.57,-19.27,3.16,-0.37,0.0,9.41,,,,0.0,-6.0,,,,,,,,0.0,1.0,0.0,,
Peter Strzelecki,MIL,RP,RP,FA,Free Agent,31.0,0.0,0.0,3.16,0.0,8953.0,0.0,0.0,28.84,15.57,-13.27,3.16,-0.37,0.0,9.41,,,,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
Jeremy Wu-Yelland,BOS,RP,RP,FA,Free Agent,27.0,0.0,0.0,3.16,0.0,9913.0,0.0,0.0,28.84,20.57,-8.27,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Pablo Aldonis,WSH,RP,RP,FA,Free Agent,24.0,0.0,0.0,3.16,0.0,1291.0,0.0,0.0,28.84,25.57,-3.27,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Jack Dallas,PHI,RP,RP,FA,Free Agent,27.0,0.0,0.0,3.16,0.0,3027.0,0.0,0.0,28.84,20.57,-8.27,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Chris Flexen,(N/A),RP,RP,FA,Free Agent,32.0,0.0,0.0,3.16,0.0,3790.0,0.0,0.0,28.84,9.57,-19.27,3.16,-0.37,0.0,9.41,,,,0.0,-6.0,,,,,,,,0.0,1.0,0.0,,
